Wall time,Step,Value
1698915921.8121061,0,1.7938131093978882
1698915972.642592,1,1.7969310283660889
1698916023.4190695,2,1.709173560142517
1698916074.3266325,3,1.6715900897979736
1698916124.8980048,4,1.6337517499923706
1698916175.1483998,5,1.5880334377288818
1698916225.9613147,6,1.528510570526123
1698916277.0108917,7,1.4592045545578003
1698916327.739606,8,1.381489634513855
1698916378.501979,9,1.2871226072311401
1698916428.9116683,10,1.1834450960159302
1698916475.249619,11,1.0407052040100098
1698916521.683268,12,0.9180772304534912
1698916572.696576,13,0.8742966055870056
1698916623.2702324,14,0.7668115496635437
1698916674.1663747,15,0.6823814511299133
1698916724.8112712,16,0.6368118524551392
1698916775.4219947,17,0.5650699138641357
1698916826.0440516,18,0.5096961855888367
1698916876.7252378,19,0.4653486907482147
1698916927.2682176,20,0.4074379503726959
1698916978.3234992,21,0.373057097196579
1698917029.0306656,22,0.3580111563205719
1698917079.319304,23,0.3040222227573395
1698917130.3833964,24,0.2603903114795685
1698917181.0118515,25,0.24538719654083252
1698917232.286962,26,0.2243402749300003
1698917283.1778626,27,0.21579179167747498
1698917333.5423148,28,0.1821182817220688
1698917380.0573742,29,0.17277178168296814
1698917427.103366,30,0.146264910697937
1698917477.9025264,31,0.14756342768669128
1698917529.0949104,32,0.12192035466432571
1698917580.2270274,33,0.11850312352180481
1698917630.9534922,34,0.1082310900092125
1698917682.0771406,35,0.08852951973676682
1698917733.1486368,36,0.09311103075742722
1698917784.5443604,37,0.06874613463878632
1698917835.746047,38,0.07622626423835754
1698917886.909262,39,0.07574670016765594
1698917937.6529145,40,0.05600735545158386
1698917988.8683825,41,0.06329299509525299
1698918040.0049958,42,0.052022721618413925
1698918091.2126818,43,0.0472855269908905
1698918142.4878325,44,0.043814219534397125
1698918193.3662882,45,0.04471436142921448
1698918243.5042655,46,0.046899259090423584
1698918290.5488505,47,0.04109031707048416
1698918338.0997355,48,0.035367853939533234
1698918389.0926182,49,0.03230768442153931
1698918439.759181,50,0.047767482697963715
1698918489.7101426,51,0.043059028685092926
1698918539.7273676,52,0.041695933789014816
1698918589.434355,53,0.025823106989264488
1698918639.0137475,54,0.02767212502658367
1698918688.7229574,55,0.030290963128209114
1698918738.1364639,56,0.02488694339990616
1698918787.802553,57,0.03891795873641968
1698918837.198627,58,0.01755884662270546
1698918886.561767,59,0.026599401608109474
1698918936.1499033,60,0.027812864631414413
1698918985.4445114,61,0.02602321468293667
1698919034.6979637,62,0.01488677691668272
1698919078.092986,63,0.02053994871675968
1698919116.6638823,64,0.022472456097602844
1698919151.8876173,65,0.024040846154093742
1698919186.4954143,66,0.019700998440384865
1698919225.755645,67,0.026193052530288696
1698919264.9963598,68,0.022718962281942368
1698919304.2509146,69,0.0262402705848217
1698919343.2519405,70,0.037605538964271545
1698919382.1675153,71,0.011963379569351673
1698919421.15339,72,0.01634281687438488
