Wall time,Step,Value
1698750151.097074,0,1.1086527109146118
1698750232.9651284,1,0.9960559010505676
1698750314.956318,2,0.5346302390098572
1698750392.41142,3,0.34709852933883667
1698750468.3703244,4,0.25138726830482483
1698750550.7722301,5,0.20465420186519623
1698750633.1696084,6,0.17712588608264923
1698750715.601085,7,0.1479642540216446
1698750797.9728167,8,0.1327948123216629
1698750880.478779,9,0.11569336801767349
1698750962.8707225,10,0.10437921434640884
1698751045.332603,11,0.09445428848266602
1698751127.660915,12,0.08743871003389359
1698751210.277348,13,0.07823891937732697
1698751292.7521436,14,0.07236011326313019
1698751375.0564513,15,0.0663609579205513
1698751457.319714,16,0.06261546909809113
1698751538.6427462,17,0.06111449375748634
1698751614.0313077,18,0.05656256899237633
1698751694.1643934,19,0.053206395357847214
1698751776.537686,20,0.052709925919771194
1698751858.7713895,21,0.04858534783124924
1698751941.0865104,22,0.04611588269472122
1698752023.2399762,23,0.04380524531006813
1698752105.5056412,24,0.04113340750336647
1698752187.9826982,25,0.0402689129114151
1698752270.2991433,26,0.03896479681134224
1698752352.512228,27,0.037086889147758484
1698752434.7557886,28,0.03527412936091423
1698752517.0545206,29,0.03448212891817093
1698752599.7254922,30,0.03352699428796768
1698752682.012435,31,0.03259536623954773
1698752759.858036,32,0.03156112879514694
1698752836.1824238,33,0.03147735819220543
1698752918.5147665,34,0.03038940578699112
1698753000.756614,35,0.02893975004553795
1698753083.1229658,36,0.03112032823264599
1698753165.4564931,37,0.02779490314424038
1698753247.668571,38,0.026566512882709503
1698753329.9433122,39,0.026889272034168243
1698753412.2551339,40,0.030370915308594704
1698753494.5937095,41,0.02728561870753765
1698753576.8148882,42,0.025461852550506592
1698753659.0850897,43,0.02488243579864502
1698753741.4261138,44,0.02369462512433529
1698753823.7497737,45,0.026759007945656776
1698753905.1976235,46,0.02397868037223816
1698753980.4819493,47,0.02300630323588848
1698754060.530512,48,0.022171542048454285
1698754142.9340372,49,0.020493648946285248
1698754225.1821277,50,0.020999370142817497
1698754307.495792,51,0.020531490445137024
1698754389.7554092,52,0.024937046691775322
1698754471.9901798,53,0.01927095279097557
1698754554.2400548,54,0.019732406362891197
1698754636.4773612,55,0.020568998530507088
1698754718.8623204,56,0.01877468265593052
1698754801.1107783,57,0.018681196495890617
1698754883.381674,58,0.020225323736667633
1698754965.6296911,59,0.018294882029294968
1698755048.0606048,60,0.019459042698144913
1698755125.7879622,61,0.01812276802957058
1698755202.0730698,62,0.017982468008995056
1698755284.284286,63,0.019057350233197212
1698755366.6922138,64,0.017154941335320473
1698755449.0253692,65,0.01741691865026951
1698755531.2605152,66,0.016201794147491455
1698755613.422324,67,0.018183063715696335
1698755695.5354972,68,0.017546197399497032
1698755777.8002725,69,0.015907881781458855
1698755860.0444915,70,0.01592278853058815
1698755942.210566,71,0.015631454065442085
1698756024.5168684,72,0.01623508892953396
1698756106.9283097,73,0.016974400728940964
1698756189.1200688,74,0.015270190313458443
1698756270.441798,75,0.016373053193092346
1698756345.6938562,76,0.014276132918894291
1698756425.528747,77,0.014664454385638237
1698756507.4187438,78,0.014348340220749378
1698756589.3542194,79,0.014918006956577301
1698756671.2094216,80,0.01570642925798893
