Wall time,Step,Value
1698944331.8060176,0,1.0981825590133667
1698944354.335961,1,1.101725697517395
1698944377.2046952,2,1.1165748834609985
1698944399.3926766,3,1.1135849952697754
1698944419.9969513,4,1.054954171180725
1698944440.3567278,5,1.0295541286468506
1698944460.6323042,6,1.0134226083755493
1698944480.935869,7,0.9950726628303528
1698944501.7441041,8,0.9756996631622314
1698944524.828149,9,0.9527567028999329
1698944547.075259,10,0.9227471351623535
1698944570.0171423,11,0.8872756361961365
1698944592.978889,12,0.8462822437286377
1698944615.531209,13,0.7961918711662292
1698944638.4156997,14,0.7362861037254333
1698944661.3938036,15,0.6798376441001892
1698944684.1082084,16,0.6115531325340271
1698944706.4393666,17,0.5535478591918945
1698944728.966842,18,0.5014018416404724
1698944751.9220607,19,0.4373265504837036
1698944774.267025,20,0.39934641122817993
1698944797.1263363,21,0.36733072996139526
1698944820.2485862,22,0.33141976594924927
1698944842.732245,23,0.30048128962516785
1698944865.5648286,24,0.294721394777298
1698944888.217114,25,0.2512986660003662
1698944911.1694965,26,0.24611181020736694
1698944933.4487054,27,0.22005867958068848
1698944956.3372378,28,0.21220043301582336
1698944979.01723,29,0.19874432682991028
1698945001.4005747,30,0.17976528406143188
1698945024.0765302,31,0.18316468596458435
1698945046.5379672,32,0.17980265617370605
1698945069.5708468,33,0.1948726326227188
1698945092.3235886,34,0.16895249485969543
1698945115.229797,35,0.13378261029720306
1698945138.1621547,36,0.1515158712863922
1698945160.4463603,37,0.14215679466724396
1698945183.3874116,38,0.14745445549488068
1698945206.429044,39,0.14195026457309723
1698945228.8263125,40,0.11416132748126984
1698945251.6741574,41,0.12329207360744476
1698945274.4959733,42,0.13741108775138855
1698945296.262729,43,0.13787905871868134
1698945316.498177,44,0.10728849470615387
1698945337.0473146,45,0.10683482885360718
1698945357.4417832,46,0.09883396327495575
1698945377.0280428,47,0.09786386042833328
1698945399.922815,48,0.09693538397550583
1698945422.6482625,49,0.0948374792933464
1698945445.4927812,50,0.10666321218013763
1698945468.1265662,51,0.10548681020736694
1698945491.1384456,52,0.09726506471633911
1698945513.93643,53,0.08452499657869339
1698945536.4377367,54,0.09182222932577133
1698945559.5444393,55,0.07311052829027176
1698945582.369792,56,0.07599944621324539
1698945604.7740176,57,0.08361034840345383
1698945627.4108033,58,0.10285944491624832
1698945650.0363832,59,0.1114448606967926
1698945672.9756215,60,0.07445313781499863
1698945695.3379982,61,0.07035717368125916
1698945718.7777214,62,0.1072821095585823
1698945741.5956278,63,0.074910968542099
1698945764.1336663,64,0.07055667042732239
1698945786.995298,65,0.07599785178899765
1698945809.5414262,66,0.05684610456228256
1698945832.528356,67,0.06058705598115921
1698945855.0051374,68,0.057814668864011765
1698945877.7866642,69,0.06157753989100456
1698945900.7637541,70,0.05971261113882065
1698945923.0379984,71,0.06177036836743355
