Wall time,Step,Value
1698785114.992263,0,1.0909686088562012
1698785183.2170882,1,0.8828800916671753
1698785251.4501302,2,0.25371167063713074
1698785319.7325778,3,0.09553442150354385
1698785388.434405,4,0.05646263808012009
1698785457.1815715,5,0.041199471801519394
1698785519.4912426,6,0.031544871628284454
1698785585.6333542,7,0.02557932585477829
1698785653.8842866,8,0.021098213270306587
1698785722.2062523,9,0.01753537543118
1698785790.3410034,10,0.014802977442741394
1698785859.0618353,11,0.01274817530065775
1698785927.715368,12,0.011087269522249699
1698785996.4037452,13,0.009923800826072693
1698786064.6249728,14,0.008681411854922771
1698786125.0521953,15,0.007793786935508251
1698786193.7065876,16,0.0070315464399755
1698786262.3878963,17,0.006309295538812876
1698786331.2341871,18,0.005786236375570297
1698786399.8635151,19,0.005139990709722042
1698786468.527196,20,0.004781985655426979
1698786537.2569067,21,0.004312655422836542
1698786606.035741,22,0.004009938798844814
1698786672.0743525,23,0.0036657468881458044
1698786734.8471467,24,0.003427519230172038
1698786803.5427644,25,0.0031770712230354548
1698786872.2249475,26,0.003022652119398117
1698786940.9113214,27,0.0027875571977347136
1698787009.5776198,28,0.002581588225439191
1698787078.3487968,29,0.002435242058709264
1698787147.0506368,30,0.0023126781452447176
1698787215.7074993,31,0.0021546557545661926
1698787279.587957,32,0.0020948045421391726
1698787344.0150592,33,0.0019673663191497326
1698787412.6936948,34,0.0018463080050423741
1698787481.4785836,35,0.001755742821842432
1698787550.1519504,36,0.0016469265101477504
1698787618.965559,37,0.0015621039783582091
1698787687.733345,38,0.0015169424004852772
1698787756.3945818,39,0.0014329880941659212
1698787825.127533,40,0.001378058921545744
1698787886.8061569,41,0.0013249879702925682
1698787953.4355643,42,0.0012295612832531333
1698788021.725426,43,0.0011837235651910305
1698788090.0771222,44,0.0011216207640245557
1698788158.3156745,45,0.0011101107811555266
1698788226.556874,46,0.0010405951179564
1698788294.8639836,47,0.0010149592999368906
1698788363.2114553,48,0.0009621271165087819
1698788430.741093,49,0.0009094105334952474
